Cons_No,Contract_Ac,Contract,Install_No,GIC_Code,Sch_No.,Leg_Ac_No,Meter_No,Meter_Typ,Tariff,PSC_Cons_IBC,IBC_Name,AMR_STATUS,Actual_Latitude,Actual_Longitude,DTS_ID,PMT_Name,FeederID_(BH),Feeder_Name_(BH),FeederID,Feeder_Name,CM_No
DP001998,400005585056,30543131,7000546900,K0305,6465,2952385790099,Hook,Inactive,A1-R,133,NORTH KARACHI,Inactive,0,0,500091,"TELEEXC S/S-1, SEC-11I,",,,624,"P-1A/4, SEC-11I, N.K",0
DP002002,400005585005,30543136,7000546905,K0305,6565,2952385320289,Hook,Inactive,A1-R,124,NORTH NAZIMABAD,Inactive,0,0,504535,P-65/2/2 BL-J NEAR PARK,,,672,"P-11/1, D/PMT (RHS)",0
DP002062,400005629231,30547354,7000551121,K0305,6465,2952385740927,Hook,Inactive,A1-R,133,NORTH KARACHI,Inactive,0,0,2728,SHEERIN CINEMA,,,624,"P-1A/4, SEC-11I, N.K",0
DP002078,400005632151,30547934,7000552001,K0305,6561,2952385324624,Hook,Inactive,A1-R,124,NORTH NAZIMABAD,Inactive,0,0,170485,"P-21, PMT BLOCK-J",,,675,"P-21, PMT BLOCK-J",0
DP001874,400002132239,30522849,7000213902,K0305,6465,2952285740962,Hook,Inactive,A1-R,133,NORTH KARACHI,Inactive,0,0,171379,"P-4/1, SEC,. 11-J, NORTH KARACHI",,,3326,"P-4/1, SEC,. 11-J, NORTH KARACHI",0
DP002061,400005629223,30547353,7000551120,K0305,6465,2952385790110,Hook,Inactive,A1-R,133,NORTH KARACHI,Inactive,0,0,11883,"P-18/6, SEC-11A, NK",,,3327,P-21/9 SEC 11A N.KAR,0
DP001389,400002097484,30522212,7000211941,K0305,6465,2952385713213,Hook,Inactive,A1-R,133,NORTH KARACHI,Inactive,0,0,11579,"P-9, SEC-11F, NK",,,3383,P-10/4/3,0
DP002119,400013966597,31355707,7001363975,K0305,6565,2952385790919,Hook,Inactive,A1-R,133,NORTH KARACHI,Inactive,0,0,,Null,,,Null,Null,0
DP002171,400014010527,31360089,7001367662,K0305,6565,2952385790242,Hook,Inactive,A1-R,133,NORTH KARACHI,Inactive,0,0,171361,"P-2, OLD P-1A/4, SEC-11I, N.K",,,624,"P-1A/4, SEC-11I, N.K",0
DP002095,400005640863,30550147,7000554215,K0305,6465,2952385740946,Hook,Inactive,A1-R,133,NORTH KARACHI,Inactive,0,0,509026,P-11/3/1 11 G,,,3163,P-11/3/1 11 G,0
DP002516,400024833125,32405174,7002423032,K0305,5202,2952285550074,Hook,Inactive,A1-R,132,F B AREA,Inactive,0,0,500402,BAGHE-E-AFZA D/B PMT,,,2041,BAGHE-E-AFZA D/B PMT,0
DP002893,400027542768,32953344,7002693639,K0305,5565,,Hook,Inactive,A1-R,132,F B AREA,Inactive,0,0,528266,FARZANA DAWA KHANA D/PMT (LHS),,,2139,GOVT. COMPREHENSIVE SCHOOL S/S,0
DP002897,400027542636,32672819,7002693427,K0305,5565,2952385510118,Hook,Inactive,A1-R,132,F B AREA,Inactive,0,0,500554,RAILWAY COLONY PMT-2  P-32/1/1,,,2019,SAGUM GROUND DR. ALVI SB.,0
